"efternamn","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Göransson",9495,9509,9511,9516,9520,9542,9511,9518,9501,9515,9547,9560,9509,9474,9418,9410,9390,9322,9299,9209,9163,9087,9019,8987,8957,8910,8892,8853,8788,8704,8642,..,..,..,..,..,..,..,..,..
"Hansen",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8684,8757,8797,8826,8842,8878,8859,8855,8830,8804,8752,8712,8673
"Hansson",54200,54004,53748,53461,53217,52938,52735,52596,52417,52327,52145,51979,51833,51572,51270,50974,50643,50278,49818,49372,48977,48608,48194,47798,47443,47018,46594,46095,45644,45331,44900,44389,43926,43430,43021,42569,42174,41586,41044,40517
"Hassan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9183,9921,10514,11061
"Hedlund",10395,10419,10411,10378,10345,10337,10330,10339,10344,10385,10338,10349,10353,10350,10357,10359,10351,10315,10270,10228,10192,10147,10133,10164,10163,10159,10171,10171,10176,10159,10149,10120,10124,10091,10029,10023,9984,9889,9808,9749
"Hellström",10183,10200,10201,10217,10211,10188,10147,10163,10190,10224,10225,10213,10228,10259,10279,10287,10217,10171,10158,10142,10093,10062,10023,10013,9974,9963,9962,9955,9917,9918,9932,9922,9863,9885,9865,9864,9879,9856,9811,9784
"Henriksson",18997,19000,19002,18974,18946,18967,18936,18981,18985,18955,18920,18939,18932,18964,18963,18920,18910,18884,18749,18651,18620,18551,18492,18387,18323,18210,18136,18082,18008,17936,17887,17800,17675,17608,17547,17458,17340,17223,17048,16908
"Hermansson",11420,11426,11427,11425,11409,11437,11451,11462,11476,11497,11509,11524,11514,11491,11504,11504,11450,11389,11324,11263,11202,11173,11138,11098,11054,11013,10950,10893,10824,10748,10681,10592,10548,10488,10463,10431,10407,10322,10224,10157
"Holm",14505,14500,14432,14369,14376,14378,14375,14419,14408,14474,14554,14556,14599,14621,14612,14613,14601,14584,14502,14449,14430,14431,14392,14407,14442,14419,14427,14405,14388,14380,14395,14362,14351,14337,14294,14215,14192,14071,13990,13897
"Holmberg",14121,14094,14086,14035,14011,13956,13938,13980,13989,14052,14032,14045,14045,14048,14015,14003,13950,13883,13813,13775,13688,13643,13663,13615,13599,13541,13511,13483,13445,13374,13328,13273,13273,13231,13213,13162,13099,13049,12977,12892
"Holmgren",10570,10578,10587,10581,10543,10521,10537,10584,10615,10606,10626,10637,10642,10643,10650,10642,10609,10564,10516,10501,10488,10463,10434,10413,10420,10392,10377,10343,10304,10279,10270,10239,10262,10233,10212,10182,10143,10121,10060,9966
"Holmqvist",9176,9183,9199,9165,9094,9116,9093,9111,9069,9056,9100,9057,9090,9085,9089,9090,9040,9015,8982,9009,8966,8940,8928,8899,8872,8855,8806,8795,8771,8767,8779,8752,8688,8647,8626,8650,..,..,..,..
"Håkansson",18039,18033,17964,17867,17822,17766,17699,17614,17570,17583,17583,17537,17516,17492,17455,17392,17298,17205,17077,16983,16904,16730,16655,16584,16512,16405,16252,16165,16010,15913,15816,15720,15591,15449,15363,15231,15090,14912,14759,14545
"Isaksson",14065,14068,14068,14010,14009,14019,14005,14028,14037,14070,14112,14129,14144,14197,14200,14161,14149,14153,14113,14050,14039,14036,14045,14041,14040,14011,13964,13920,13935,13931,13906,13903,13894,13850,13796,13781,13735,13641,13541,13474
"Ivarsson",..,..,..,..,..,..,..,8433,8465,8544,..,8655,8736,..,..,8807,8806,8830,8809,8800,8799,8792,8809,8813,8784,8751,8748,8741,8726,8729,8706,8667,8642,..,..,..,..,..,..,..
"Jakobsson",29380,29290,29295,29278,29218,29182,29188,29094,29008,29006,28924,28918,28928,28885,28894,28769,28676,28530,28386,28265,28116,28022,27886,27703,27636,27507,27393,27292,27243,27133,27030,26896,26793,26647,26505,26381,26262,26058,25865,25669
"Jansson",67242,66786,66306,65730,65259,64761,64317,63816,63304,62880,62382,61953,61535,61080,60746,60258,59671,58950,58369,57783,57171,56548,56104,55603,54955,54334,53793,53200,52589,51976,51412,50800,50170,49554,48996,48437,47858,47172,46509,45844
"Johansson",360618,357993,355338,350909,347809,344463,341330,338276,334981,331349,328041,325152,322392,319076,316068,312749,309324,305725,301567,297768,294225,290509,287071,283697,280372,276656,273135,269430,265859,262473,258785,255205,251495,248175,245018,241685,238259,234459,230671,227104
"Jonasson",10643,10585,10569,10516,10457,10354,10326,10287,10243,10170,10140,10105,10068,9986,9959,9932,9872,9750,9678,9653,9629,9582,9554,9510,9463,9392,9347,9278,9211,9131,9094,9079,9034,8970,8915,8862,8790,8709,8622,8520
"Jonsson",91597,91189,90858,90081,89704,89268,88919,88539,88124,87718,87326,86998,86585,86114,85712,85223,84602,83897,83108,82504,81756,81151,80502,79918,79334,78763,78050,77389,76679,76086,75353,74630,73869,73144,72536,71774,71130,70164,69260,68358
"Josefsson",8729,8787,8768,8749,8739,8789,8822,8807,8817,8805,8813,8811,8807,8817,8821,..,8796,8810,8780,8743,8737,8720,8727,8661,8689,8647,8617,..,..,..,..,..,..,..,..,..,..,..,..,..
"Jönsson",46196,45856,45459,44932,44589,44249,43858,43516,43136,42745,42327,41867,41454,41106,40783,40316,39838,39387,38814,38288,37835,37410,36943,36428,35960,35508,35079,34598,34114,33628,33225,32775,32249,31783,31376,30925,30506,29939,29378,28874
"Karlsson",311635,309237,307079,303518,300946,298305,295676,293319,290828,288222,286050,283980,281561,279265,276946,274315,271329,268283,264817,261678,258735,255786,252891,249976,246920,243743,240684,237557,234443,231583,228794,226049,223151,220418,217604,214920,212126,208849,205434,202331
"Larsson",160138,159315,158434,157336,156437,155710,154752,153907,153112,152348,151565,150917,150259,149384,148453,147327,146062,144739,143112,141808,140342,139070,137731,136517,135250,134013,132716,131412,129932,128604,127403,126061,124686,123348,121966,120795,119454,117826,116232,114698
"Lind",17874,17913,17884,17903,17967,18033,18110,18163,18271,18350,18549,18676,18774,18853,18882,18898,18896,18895,18864,18902,18901,18926,19005,19116,19200,19281,19336,19361,19432,19555,19665,19794,19916,20016,20141,20181,20277,20241,20231,20305
"Lindberg",27685,27709,27666,27643,27697,27712,27736,27734,27790,27838,27892,27947,28053,28093,28069,28040,27970,27841,27659,27693,27712,27667,27658,27590,27560,27543,27495,27529,27515,27564,27584,27542,27533,27565,27605,27602,27569,27473,27305,27119
"Lindgren",23996,23989,24014,23966,23943,23927,23958,23928,23875,23939,24045,24179,24186,24181,24234,24168,24048,23971,23848,23765,23704,23611,23571,23482,23458,23395,23352,23322,23240,23224,23147,23077,23042,22978,22889,22801,22805,22636,22466,22250
"Lindholm",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8659,8674,8671,8690,8707,..,8621,8606,8578
"Lindqvist",24385,24416,24351,24330,24356,24288,24174,24127,24147,24064,24079,24076,24062,24090,24079,24027,23954,23878,23725,23598,23524,23469,23411,23335,23289,23286,23251,23208,23176,23125,23117,23130,23073,22992,22996,22917,22878,22739,22591,22461
"Lindström",26246,26220,26221,26174,26218,26153,26134,26150,26177,26245,26266,26286,26275,26357,26412,26305,26202,26140,26024,25953,25876,25823,25833,25712,25665,25575,25525,25478,25392,25333,25326,25273,25180,25152,25009,24917,24849,24710,24509,24321
